HoV,c_f_hat,FlowRate_Diff_(LTR-FDDN),ConvergedEpoch
A4,1.3078678006689703,1.2139503701090462,6
S3,1.021167058179113,1.8137558892151446,7
A5,0.9991589547851789,-0.5938813590732934,16
C5,1.2728126719482515,0.290181211786944,19
T2,0.9919451935527354,0.7558066041955271,23
M2,1.233106577961376,1.234050155209502,24
A2,1.0725440941943212,1.714064534975364,25
C6,1.213336509608689,-0.6302154697672222,39
S2,0.9915736591884962,0.07746749031628042,45
F2,0.9987599168829492,1.430830348299878,53
D2,0.994374394040132,0.17416556450325515,55
C3,1.2245121034645303,-2.070941266706427,60
E1,1.0283346583114286,1.5630645634817029,63
A3,1.1598614957690374,1.3359670436345823,73
H1,1.0483962672209506,0.512633713598234,86
C2,1.2574985562518226,-0.7259543256915322,90
C4,1.0408430266860895,-1.3691659989088976,101
Q2,0.9902993779186706,1.6628069196088973,105
D1,1.0407406558246646,-1.9630209856089778,107
A1,0.9881233695825268,-0.006410446182371743,109
T1,1.1487429292213005,1.7502035501458977,118
J1,1.2054007960427278,0.9242058413831273,125
P1,1.2169345494444948,0.746941595960493,132
F3,0.998190576937259,-1.9498278671641174,140
M1,1.1557469011838304,-0.2684537738639392,156
Q1,0.9994795655421395,-0.43438930034528767,175
C1,0.9927347403583103,0.7490375122146133,180
S1,1.3203353499197226,1.173152010573176,187
E2,1.4858478197218548,0.34654465604819507,197
S4,1.1010036672922927,1.5609169136270111,202
F1,1.001306856373601,0.3769296613647839,206
I1,1.3236690960852644,-0.10162120659924767,208
A6,0.955372555541656,1.8498701615122854,215
