HoV,MTR_cf_hat,TZ6zmix_cf_hat,MaxEpochs
A1,1.1409931844143717,0.09761142606542361,1
A2,1.2233667927481888,0.21395450552102563,10
A3,1.3178343779165875,0.25358923406159223,1
A4,1.5520470290872153,0.3112917725145872,3
A5,1.1591980528957275,0.4676483656157342,6
A6,1.0959365204593758,0.5227279793138901,2
C1,1.1287434333449018,0.5267296806223144,1
C2,1.5091688848310603,0.5557266725194471,3
C3,1.4739941014372944,0.6200015810886726,2
C4,1.2377403015232045,0.7585069054684815,2
C5,1.4930418721715184,0.7017709375738066,2
C6,1.4814335599752086,0.8283086152858807,2
D1,1.2700431456997012,0.9465120289084349,2
D2,1.1734819520667261,0.955405131198522,2
E1,1.1694417445088265,0.9697869166483278,1
E2,1.611601026105729,0.6253403957543392,2
F1,1.1659029619800645,0.7882815674927617,3
F2,1.1588581820805335,0.8020905546105531,1
F3,1.1938313571001473,0.9071413951355808,2
H1,1.187422993206321,0.923121367916607,1
I1,1.497418904859093,0.8470455148955549,2
J1,1.4014361325652442,0.8851810465326901,3
M1,1.4138957276019533,1.18687728403375,4
M2,1.4066126273563488,1.211138724170026,1
P1,1.4594352737481782,1.1892721363646863,1
Q1,1.201677049462514,1.2788705578466402,3
Q2,1.1789712439850055,1.3002411593252754,1
S1,1.5142885818746674,1.1345652150619112,3
S2,1.1840717698495244,1.2185830719769892,3
S3,1.2151454662535714,1.291891844630807,1
S4,1.2475220514360894,1.2218962882834294,2
S5,1.7866803387882417,1.0829217686124075,3
T1,1.3352381575309133,1.114859952850011,4
T2,1.1848614438378766,1.3483985482721352,3
