HoV,MTR_cf_hat,TZ6zmix_cf_hat,FlowRate_Diff_(LTR-FDDN),ConvergedEpoch
S3,1.1776117970283975,0.11575339586440804,0.9202919525474726,0
C1,1.1351365054697726,0.09891462737199269,-3.318324905355439,0
H1,1.2467685555992425,0.004820008218496483,5.472844597754147,7
P1,1.410348749157174,0.020824601232854095,-2.760712181701024,8
A6,1.1189157746221494,0.04820344200823453,1.1760088447445014,9
A3,1.3185912158364037,0.043957562356894575,-4.439366846209623,10
C3,1.4663975960186963,0.008226810460528696,3.377972854910354,11
D2,1.1745260412703338,0.05403943416102368,2.204290957647004,12
A5,1.1823252015138122,0.05488161359025935,1.9946451775974765,12
A2,1.2691447281897055,0.05175905131456463,4.919804207174252,14
A1,1.3299293074595866,0.03951987957998406,3.7579884113281423,18
T2,1.136645058154537,0.11386517632891648,-2.973408123971467,19
M1,1.393339221779529,0.13894289627429918,1.992834308077363,24
I1,1.5194754914203863,0.0887794103626444,-0.7541530313812927,27
S4,1.2890359544219812,0.14833190412341696,2.239328850874017,28
C2,1.48330624459817,0.132846761341389,1.2812053730156094,29
C5,1.4966214121523704,0.1267608818638161,3.19456862973027,30
J1,1.3638089594050513,0.13366317267534236,-0.3718722032904225,33
C6,1.4562729843771474,0.20178021443278307,2.2896897285933164,34
S1,1.543711427534785,0.19790833814355696,0.27903169145076845,37
E1,1.197741848197573,0.2170674399813435,1.8456311300933521,39
F3,1.2076238028751338,0.21931076520949502,4.9239159808724935,39
Q2,1.1433654206174249,0.23397957319664267,-0.723732083372397,40
S2,1.134605495239272,0.2584486023370397,-3.9437893228958956,44
M2,1.467547490320488,0.2704503964764798,3.0878803246885127,47
T1,1.3359586872872897,0.23914261540395973,4.626863487277205,51
A4,1.5352562825182126,0.32358264983301155,2.075114815544225,58
F1,1.129724484894022,0.2961045865167363,-3.7265661248759443,59
Q1,1.1810886282065542,0.31697663323235636,1.6837173725790535,59
F2,1.119854936621271,0.29381432945910263,-3.9544797746536915,59
S5,1.781049185295991,0.3877038268559494,-2.760397093725146,65
