HoV,MTR_cf_hat,riser_LAO_RHS_cf_hat,riser_LAO_LHS_cf_hat,riser_CAO_RHS_cf_hat,riser_CAO_LHS_cf_hat,riser_3302_2_3305_cf_hat,riser_3302_1_cf_hat,riser_3302_2_cf_hat,Early_Stopping_Reason,Final_MSELoss,Final_ErrorLoss,MaxEpochs
A1,0.758497817,0.62182273,1.284630461,1.670904325,1.605654431,0.307498989,1.096286121,0.318966624,SetEpochsReached,2.52278163,1.55161636,19
A2,0.803213495,0.792279054,1.130177747,1.432708721,1.195461721,0.604086984,1.066839028,0.427130055,SetEpochsReached,1.883116477,0.827186068,19
A3,0.562000015,0.471917778,1.315721568,1.735355441,1.739906269,0.055818223,1.118652887,0.007834495,SetEpochsReached,13.68454858,4.582670677,19
A4,0.75877139,0.736598137,1.154745964,1.522978364,1.253702152,0.461819503,1.05540036,0.59440135,SetEpochsReached,0.98128854,0.666987623,19
A5,0.862654394,0.953117322,1.050511746,1.044513962,0.979008344,0.873759132,1.018801369,0.857282235,SetEpochsReached,0.006085973,0.032540612,19
A6,0.688136283,0.815258717,1.039601958,1.178417374,1.094864976,0.591275031,1.020627889,0.721195415,SetEpochsReached,0.119909549,0.231726598,19
C1,0.749755423,0.689747533,1.230196241,1.493285366,1.435536645,0.439515487,1.093111909,0.319339732,SetEpochsReached,6.504322206,2.123151894,19
C2,0.915371267,0.771017171,1.254605061,1.423604545,1.252524794,0.569425755,1.10331254,0.242767153,SetEpochsReached,3.783730011,1.408714041,19
C3,0.899914282,0.811397217,1.161316717,1.385274592,1.260125284,0.679216786,1.074001001,0.486207813,SetEpochsReached,6.967868648,1.588335556,19
C4,0.834323938,0.627284066,1.219948046,1.56076135,1.553512406,0.342580051,1.086819979,0.282913268,SetEpochsReached,4.30058751,1.59750762,19
C5,0.714721172,0.741276006,1.06495078,1.264253299,1.133022248,0.423785211,1.025834564,0.663547944,SetEpochsReached,0.060159261,0.354957146,19
D1,0.833428986,0.543300778,1.380258343,1.730385087,1.632380045,0.036899659,1.115141462,0.04041514,SetEpochsReached,1.445186968,1.899390677,19
D2,0.839422904,0.964028147,1.058440355,1.03910453,0.923329951,0.885054433,1.021762155,0.816329523,SetEpochsReached,0.011420292,0.044749377,19
E1,0.792968248,0.885448663,0.958983224,1.159602514,1.160482122,0.764188273,0.996233472,0.936774356,SetEpochsReached,0.018394023,0.087261689,19
E2,0.712051699,0.750157555,0.930615971,1.418467431,1.250917342,0.481880418,0.992298093,0.882352422,SetEpochsReached,0.068984567,0.345921863,19
F1,0.718117292,0.976700108,0.890371211,1.216648098,1.09288937,0.941428066,0.977779233,1.07755825,SetEpochsReached,0.029412671,0.083698969,19
F2,0.658845298,0.993548221,0.833593876,1.250364055,1.124508337,0.982550398,0.959483621,1.183658311,SetEpochsReached,0.067401544,0.143251171,24
F3,0.650543054,0.598041163,1.225969816,1.660662711,1.618757822,0.190973734,1.077205922,0.305606922,SetEpochsReached,1.568339494,1.47726355,24
H1,0.808012251,0.55046457,1.337948762,1.615747004,1.606930972,0.127480056,1.104603055,0.088881081,SetEpochsReached,2.839954542,1.969554278,24
J1,0.709047836,0.483719143,1.337623883,1.849420488,1.736561312,0.002234226,1.114455334,0.029666645,SetEpochsReached,3.02650204,2.471536928,24
M1,0.732749151,0.614494913,1.56037429,1.796197531,1.579648784,-0.011574582,1.105617518,0.070626299,SetEpochsReached,6.109833,2.762527,24
P1,0.617652649,0.853961211,0.989672942,1.347098869,1.176543468,0.673323926,1.012502716,0.789242552,SetEpochsReached,0.09816272,0.253558123,24
Q1,0.751365945,0.898167025,0.806980923,1.287264579,1.171760241,0.799616571,0.958021516,1.090639157,SetEpochsReached,0.02639979,0.140185014,24
S1,0.6364864,0.461580421,1.409975765,1.939636938,1.898620365,0.001671539,1.12085295,0.027927279,SetEpochsReached,4.621389432,3.076920458,24
S2,0.728782904,0.58586778,1.192322419,1.739913893,1.603078376,0.233406693,1.08486032,0.247534192,SetEpochsReached,2.628085323,1.749620826,24
S3,0.75237665,0.625839682,1.383805385,1.712230945,1.654826918,0.033129034,1.058800433,0.25513317,SetEpochsReached,1.218304,1.64839,24
S4,0.564728225,0.781523848,0.816251347,1.373390401,1.295312361,0.56654407,0.964564472,0.95631063,SetEpochsReached,0.053262838,0.3533148,24
S5,0.45787303,0.923903117,0.775498627,1.573959822,1.4421877,0.870505348,0.95034206,1.272608143,SetEpochsReached,0.243934778,0.526996531,24
T1,0.85208566,0.896138171,0.998976011,1.188422212,1.034968444,0.758746774,1.004848329,0.901687281,SetEpochsReached,0.011643157,0.070547,24
T2,0.767764954,0.633185636,1.257648144,1.661760238,1.577217469,0.329156251,1.094995329,0.338374064,SetEpochsReached,2.984631045,1.596117528,24
